pathway,category,subcategory,is_overview
Glycolysis,Metabolism,Carbohydrate metabolism,FALSE
Gluconeogenesis,Metabolism,Carbohydrate metabolism,FALSE
Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism,FALSE
Pentose phosphate pathway,Metabolism,Carbohydrate metabolism,FALSE
Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism,FALSE
Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism,FALSE
Galactose metabolism,Metabolism,Carbohydrate metabolism,FALSE
Ascorbate and aldarate metabolism,Metabolism,Carbohydrate metabolism,FALSE
Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism,FALSE
Pyruvate metabolism,Metabolism,Carbohydrate metabolism,FALSE
Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism,FALSE
Propanoate metabolism,Metabolism,Carbohydrate metabolism,FALSE
Butanoate metabolism,Metabolism,Carbohydrate metabolism,FALSE
C5-Branched dibasic acid metabolism,Metabolism,Carbohydrate metabolism,FALSE
Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism,FALSE
Oxidative phosphorylation,Metabolism,Energy metabolism,FALSE
Photosynthesis,Metabolism,Energy metabolism,FALSE
Photosynthesis - antenna proteins,Metabolism,Energy metabolism,FALSE
Carbon fixation in photosynthetic organisms,Metabolism,Energy metabolism,FALSE
Carbon fixation pathways in prokaryotes,Metabolism,Energy metabolism,FALSE
Methane metabolism,Metabolism,Energy metabolism,FALSE
Nitrogen metabolism,Metabolism,Energy metabolism,FALSE
Sulfur metabolism,Metabolism,Energy metabolism,FALSE
Fatty acid biosynthesis,Metabolism,Lipid metabolism,FALSE
Fatty acid elongation,Metabolism,Lipid metabolism,FALSE
Fatty acid degradation,Metabolism,Lipid metabolism,FALSE
Cutin suberin and wax biosynthesis,Metabolism,Lipid metabolism,FALSE
Mycolic acid biosynthesis,Metabolism,Lipid metabolism,FALSE
Steroid biosynthesis,Metabolism,Lipid metabolism,FALSE
Primary bile acid biosynthesis,Metabolism,Lipid metabolism,FALSE
Secondary bile acid biosynthesis,Metabolism,Lipid metabolism,FALSE
Steroid hormone biosynthesis,Metabolism,Lipid metabolism,FALSE
Glycerolipid metabolism,Metabolism,Lipid metabolism,FALSE
Glycerophospholipid metabolism,Metabolism,Lipid metabolism,FALSE
Ether lipid metabolism,Metabolism,Lipid metabolism,FALSE
Sphingolipid metabolism,Metabolism,Lipid metabolism,FALSE
Arachidonic acid metabolism,Metabolism,Lipid metabolism,FALSE
Linoleic acid metabolism,Metabolism,Lipid metabolism,FALSE
alpha-Linolenic acid metabolism,Metabolism,Lipid metabolism,FALSE
Biosynthesis of unsaturated fatty acids,Metabolism,Lipid metabolism,FALSE
Purine metabolism,Metabolism,Nucleotide metabolism,FALSE
Pyrimidine metabolism,Metabolism,Nucleotide metabolism,FALSE
Alanine aspartate and glutamate metabolism,Metabolism,Amino acid metabolism,FALSE
Glycine serine and threonine metabolism,Metabolism,Amino acid metabolism,FALSE
Cysteine and methionine metabolism,Metabolism,Amino acid metabolism,FALSE
Valine leucine and isoleucine degradation,Metabolism,Amino acid metabolism,FALSE
Valine leucine and isoleucine biosynthesis,Metabolism,Amino acid metabolism,FALSE
Lysine biosynthesis,Metabolism,Amino acid metabolism,FALSE
Lysine degradation,Metabolism,Amino acid metabolism,FALSE
Arginine biosynthesis,Metabolism,Amino acid metabolism,FALSE
Arginine and proline metabolism,Metabolism,Amino acid metabolism,FALSE
Histidine metabolism,Metabolism,Amino acid metabolism,FALSE
Tyrosine metabolism,Metabolism,Amino acid metabolism,FALSE
Phenylalanine metabolism,Metabolism,Amino acid metabolism,FALSE
Tryptophan metabolism,Metabolism,Amino acid metabolism,FALSE
"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism,FALSE
beta-Alanine metabolism,Metabolism,Metabolism of other amino acids,FALSE
Taurine and hypotaurine metabolism,Metabolism,Metabolism of other amino acids,FALSE
Phosphonate and phosphinate metabolism,Metabolism,Metabolism of other amino acids,FALSE
Selenocompound metabolism,Metabolism,Metabolism of other amino acids,FALSE
Cyanoamino acid metabolism,Metabolism,Metabolism of other amino acids,FALSE
D-Amino acid metabolism,Metabolism,Metabolism of other amino acids,FALSE
Glutathione metabolism,Metabolism,Metabolism of other amino acids,FALSE
Amino sugar and nucleotide sugar metabolism,Metabolism,Glycan biosynthesis and metabolism,FALSE
N-Glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Various types of N-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Mucin type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Mannose type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Other types of O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosaminoglycan biosynthesis - keratan sulfate,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosaminoglycan degradation,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosphingolipid biosynthesis - globo and isoglobo series,Metabolism,Glycan biosynthesis and metabolism,FALSE
Glycosphingolipid biosynthesis - ganglio series,Metabolism,Glycan biosynthesis and metabolism,FALSE
Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism,FALSE
Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
O-Antigen repeat unit biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Peptidoglycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,FALSE
Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Riboflavin metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Vitamin B6 metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Nicotinate and nicotinamide metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Pantothenate and CoA biosynthesis,Metabolism,Metabolism of cofactors and vitamins,FALSE
Biotin metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Lipoic acid metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Folate biosynthesis,Metabolism,Metabolism of cofactors and vitamins,FALSE
One carbon pool by folate,Metabolism,Metabolism of cofactors and vitamins,FALSE
Retinol metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Porphyrin and chlorophyll metabolism,Metabolism,Metabolism of cofactors and vitamins,FALSE
Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism,Metabolism of cofactors and vitamins,FALSE
Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides,FALSE
Monoterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides,FALSE
Sesquiterpenoid and triterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides,FALSE
Diterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides,FALSE
Carotenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides,FALSE
