metabolite_id,name,compartment,formula,prevalence,conservation_class,primary_pathway
M_s_0025__91__c__93__,(R)-lactate [cytoplasm],c,C3H5O3,0.987460815047022,Core (≥90%),NA
M_s_0179__91__m__93__,2-oxobutanoate [mitochondrion],m,C4H5O3,0.987460815047022,Core (≥90%),NA
M_s_1401__91__m__93__,pyruvate [mitochondrion],m,C3H3O3,0.987460815047022,Core (≥90%),NA
M_s_0794__91__c__93__,H+ [cytoplasm],c,H,0.9498432601880876,Core (≥90%),NA
M_s_0795__91__er__93__,H+ [endoplasmic reticulum],er,H,0.9498432601880876,Core (≥90%),NA
M_s_0802__91__v__93__,H+ [vacuole],v,H,0.9498432601880876,Core (≥90%),NA
M_s_3044__91__lp__93__,"triglyceride (1-16:0, 2-16:1, 3-16:0) [lipid particle]",lp,C51H96O6,0.9498432601880876,Core (≥90%),NA
M_s_3046__91__lp__93__,"triglyceride (1-16:0, 2-18:1, 3-16:0) [lipid particle]",lp,C53H100O6,0.9498432601880876,Core (≥90%),NA
M_s_3050__91__lp__93__,"triglyceride (1-16:1, 2-18:1, 3-16:0) [lipid particle]",lp,C53H98O6,0.9498432601880876,Core (≥90%),NA
M_s_3052__91__lp__93__,"triglyceride (1-18:0, 2-16:1, 3-16:0) [lipid particle]",lp,C53H100O6,0.9498432601880876,Core (≥90%),NA
M_s_3054__91__lp__93__,"triglyceride (1-18:0, 2-18:1, 3-16:0) [lipid particle]",lp,C55H104O6,0.9498432601880876,Core (≥90%),NA
M_s_3059__91__lp__93__,"triglyceride (1-16:0, 2-16:1, 3-16:1) [lipid particle]",lp,C51H94O6,0.9498432601880876,Core (≥90%),NA
M_s_3061__91__lp__93__,"triglyceride (1-16:1, 2-16:1, 3-16:1) [lipid particle]",lp,C51H92O6,0.9498432601880876,Core (≥90%),NA
M_s_3064__91__lp__93__,"triglyceride (1-18:0, 2-18:1, 3-16:1) [lipid particle]",lp,C55H102O6,0.9498432601880876,Core (≥90%),NA
M_s_3066__91__lp__93__,"triglyceride (1-18:1, 2-18:1, 3-16:1) [lipid particle]",lp,C55H100O6,0.9498432601880876,Core (≥90%),NA
