seed,variant,model,pct_concordance
42,random_0,Alloascoidea_hylecoeti,59.1755
42,random_0,Hanseniaspora_vinae,57.613
42,random_0,Komagataella_pastoris,58.897
42,random_0,Lipomyces_starkeyi,58.6113
42,random_0,Neurospora_crassa,70.1131
42,random_0,Pachysolen_tannophilus,57.1453
42,random_0,Saccharomycopsis_malanga,58.5195
42,random_0,Sporopachydermia_quercuum,60.0685
42,random_0,Tortispora_caseinolytica,69.3242
42,random_0,Torulaspora_delbrueckii,60.5882
42,random_0,Wickerhamomyces_ciferrii,60.2733
42,random_0,Yarrowia_deformans,69.601
42,random_25,Alloascoidea_hylecoeti,53.908
42,random_25,Debaryomyces_hansenii,52.9078
42,random_25,Hanseniaspora_vinae,50.7188
42,random_25,Komagataella_pastoris,50.5987
42,random_25,Lipomyces_starkeyi,58.9881
42,random_25,Neurospora_crassa,61.1482
42,random_25,Pachysolen_tannophilus,58.6348
42,random_25,Saccharomycopsis_malanga,53.1931
42,random_25,Sporopachydermia_quercuum,59.1731
42,random_25,Tortispora_caseinolytica,60.75
42,random_25,Torulaspora_delbrueckii,51.3852
42,random_25,Wickerhamomyces_ciferrii,51.9529
42,random_25,Yarrowia_deformans,55.8764
42,random_50,Alloascoidea_hylecoeti,44.3347
42,random_50,Debaryomyces_hansenii,52.7789
42,random_50,Hanseniaspora_vinae,47.8651
42,random_50,Komagataella_pastoris,52.9791
42,random_50,Lipomyces_starkeyi,53.2497
42,random_50,Neurospora_crassa,55.2807
42,random_50,Pachysolen_tannophilus,47.3751
42,random_50,Saccharomycopsis_malanga,45.3583
42,random_50,Sporopachydermia_quercuum,53.2353
42,random_50,Tortispora_caseinolytica,53.8325
42,random_50,Torulaspora_delbrueckii,53.7858
42,random_50,Wickerhamomyces_ciferrii,52.933
42,random_50,Yarrowia_deformans,53.402
42,random_75,Alloascoidea_hylecoeti,47.8152
42,random_75,Debaryomyces_hansenii,48.209
42,random_75,Hanseniaspora_vinae,49.2469
42,random_75,Komagataella_pastoris,44.7728
42,random_75,Lipomyces_starkeyi,48.1752
42,random_75,Neurospora_crassa,50.0701
42,random_75,Pachysolen_tannophilus,49.0412
42,random_75,Saccharomycopsis_malanga,43.4054
42,random_75,Sporopachydermia_quercuum,44.3873
42,random_75,Tortispora_caseinolytica,42.1863
42,random_75,Torulaspora_delbrueckii,48.5565
42,random_75,Wickerhamomyces_ciferrii,44.949
42,random_75,Yarrowia_deformans,48.8804
42,random_100,Alloascoidea_hylecoeti,44.5165
42,random_100,Debaryomyces_hansenii,41.3087
42,random_100,Hanseniaspora_vinae,37.5457
42,random_100,Komagataella_pastoris,45.4936
42,random_100,Lipomyces_starkeyi,44.3002
42,random_100,Neurospora_crassa,45.8766
42,random_100,Pachysolen_tannophilus,41.1527
42,random_100,Saccharomycopsis_malanga,43.7082
42,random_100,Sporopachydermia_quercuum,45.1594
42,random_100,Tortispora_caseinolytica,46.1573
42,random_100,Torulaspora_delbrueckii,44.7665
42,random_100,Wickerhamomyces_ciferrii,44.8046
42,random_100,Yarrowia_deformans,41.9412
43,random_0,Alloascoidea_hylecoeti,60.3689
43,random_0,Debaryomyces_hansenii,57.6675
43,random_0,Hanseniaspora_vinae,56.5713
43,random_0,Komagataella_pastoris,56.9645
43,random_0,Lipomyces_starkeyi,68.5158
43,random_0,Neurospora_crassa,63.0144
