Complex,Yeast_Balanced,Yeast_Concordant,Yeast_Singleton,Yeast_Total,Yeast_Dominant,Yeast_Score,Outgroup_Balanced,Outgroup_Concordant,Outgroup_Singleton,Outgroup_Total,Outgroup_Dominant,Outgroup_Score
M_s_3209__91__erm__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_1107__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_2851__91__lp__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_3013__91__erm__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_4202__91__e__93__,0,332,0,332,Concordant,1.0,1,10,0,11,Concordant,0.9090909090909091
M_s_0423__91__c__93__+M_s_0633__91__c__93__+M_s_1077__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0349__91__c__93__+M_s_1322__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_2785__91__erm__93__+M_s_3030__91__erm__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0009__91__c__93__+M_s_1198__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_2785__91__erm__93__+M_s_3015__91__erm__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_3337__91__ce__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_0078__91__c__93__+M_s_0803__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_2845__91__lp__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0796__91__e__93__+M_s_4093__91__e__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_1271__91__c__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_0404__91__c__93__+M_s_0423__91__c__93__+M_s_0633__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0423__91__c__93__+M_s_0633__91__c__93__+M_s_0832__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_1365__91__c__93__+M_s_1487__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0409__91__c__93__+M_s_0803__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0456__91__c__93__+M_s_0794__91__c__93__+M_s_1212__91__c__93__+M_s_1579__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_1376__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0010__91__c__93__+M_s_0794__91__c__93__+M_s_1203__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_2785__91__erm__93__+M_s_3029__91__erm__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_3329__91__ce__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_1006__91__c__93__+M_s_1594__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_1322__91__c__93__+M_s_3549__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0297__91__c__93__+M_s_1198__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
0.758072902_M_s_3711__91__erm__93__+0.254413_M_s_3741__91__c__93__+0.28246676_M_s_3743__91__c__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_1337__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_0180__91__c__93__+M_s_4079__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_3187__91__erm__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_0981__91__c__93__+M_s_1589__91__c__93__,0,332,0,332,Concordant,1.0,0,11,0,11,Concordant,1.0
M_s_3019__91__erm__93__,0,0,332,332,Singleton,1.0,0,0,11,11,Singleton,1.0
