seed,variant,model,n_complexes,n_reactions,n_metabolites,balanced,trivially_balanced,trivially_concordant,concordant_pairs_total,kinetic_modules,singleton_modules,multi_complex_modules,largest_module_size,acr_metabolites
42,random_0,Alloascoidea_hylecoeti,25301.0,36389.0,14489.0,6914.0,6891.0,5512.0,75890.0,19808.0,19005.0,803.0,4692.0,227.0
42,random_0,Hanseniaspora_vinae,14981.0,21828.0,8869.0,4059.0,4044.0,3380.0,67169.0,11742.0,11353.0,389.0,2851.0,179.0
42,random_0,Komagataella_pastoris,14016.0,20262.0,8420.0,3754.0,3733.0,3270.0,69702.0,11042.0,10749.0,293.0,2682.0,153.0
42,random_0,Lipomyces_starkeyi,17268.0,24889.0,10318.0,4651.0,4625.0,4020.0,67511.0,13540.0,13182.0,358.0,3371.0,189.0
42,random_0,Neurospora_crassa,18560.0,26122.0,11015.0,4805.0,4783.0,4523.0,75218.0,14671.0,14238.0,433.0,3457.0,179.0
42,random_0,Pachysolen_tannophilus,17242.0,24974.0,10270.0,4649.0,4633.0,3952.0,64306.0,13424.0,13048.0,376.0,3443.0,179.0
42,random_0,Saccharomycopsis_malanga,19021.0,27867.0,11187.0,5181.0,5162.0,4238.0,73325.0,14697.0,14283.0,414.0,3911.0,202.0
42,random_0,Sporopachydermia_quercuum,16353.0,23510.0,9766.0,4350.0,4329.0,3872.0,70826.0,12771.0,12440.0,331.0,3252.0,164.0
42,random_0,Tortispora_caseinolytica,12355.0,17785.0,7471.0,3299.0,3260.0,3031.0,71388.0,9808.0,9515.0,293.0,2256.0,128.0
42,random_0,Torulaspora_delbrueckii,15437.0,22361.0,9225.0,4177.0,4145.0,3611.0,66038.0,12068.0,11642.0,426.0,2943.0,165.0
42,random_0,Wickerhamomyces_ciferrii,19249.0,27549.0,11360.0,5186.0,5170.0,4426.0,73616.0,15137.0,14603.0,534.0,3579.0,199.0
42,random_0,Yarrowia_deformans,17142.0,24423.0,10143.0,4516.0,4501.0,4148.0,80983.0,13686.0,13127.0,559.0,2898.0,145.0
42,random_100,Alloascoidea_hylecoeti,45473.0,76117.0,20916.0,12533.0,9307.0,5973.0,27125.0,36365.0,32011.0,4354.0,4712.0,237.0
42,random_100,Debaryomyces_hansenii,33620.0,56910.0,15748.0,9058.0,6801.0,4453.0,18354.0,27959.0,25940.0,2019.0,3638.0,197.0
42,random_100,Hanseniaspora_vinae,26557.0,44680.0,12554.0,7207.0,5383.0,3496.0,15271.0,21292.0,18907.0,2385.0,2860.0,184.0
42,random_100,Komagataella_pastoris,25364.0,42076.0,12065.0,6823.0,5022.0,3303.0,20155.0,20381.0,18116.0,2265.0,2689.0,157.0
42,random_100,Lipomyces_starkeyi,31957.0,53033.0,15013.0,8498.0,6230.0,4138.0,23790.0,25587.0,22633.0,2954.0,3388.0,195.0
42,random_100,Neurospora_crassa,35238.0,57232.0,16434.0,9305.0,6676.0,4778.0,25415.0,28316.0,24906.0,3410.0,3474.0,185.0
42,random_100,Pachysolen_tannophilus,31388.0,52400.0,14800.0,8430.0,6242.0,4149.0,19150.0,25099.0,22287.0,2812.0,3448.0,182.0
42,random_100,Saccharomycopsis_malanga,34696.0,59861.0,16088.0,9161.0,6850.0,4465.0,21139.0,27776.0,24809.0,2967.0,3918.0,206.0
42,random_100,Sporopachydermia_quercuum,29934.0,49722.0,14131.0,7999.0,5864.0,3976.0,23738.0,23956.0,21270.0,2686.0,3262.0,169.0
42,random_100,Tortispora_caseinolytica,22588.0,37467.0,10742.0,5969.0,4386.0,3031.0,20977.0,18274.0,16241.0,2033.0,2263.0,132.0
42,random_100,Torulaspora_delbrueckii,27983.0,46783.0,13244.0,7639.0,5616.0,3698.0,23435.0,22335.0,19668.0,2667.0,2952.0,170.0
42,random_100,Wickerhamomyces_ciferrii,34954.0,57985.0,16393.0,9514.0,7019.0,4637.0,26435.0,28028.0,24725.0,3303.0,3586.0,203.0
42,random_100,Yarrowia_deformans,31537.0,51645.0,14790.0,8568.0,6233.0,4202.0,18487.0,25362.0,22134.0,3228.0,2906.0,149.0
42,random_25,Alloascoidea_hylecoeti,30591.0,46067.0,16189.0,8314.0,7498.0,5586.0,58649.0,24213.0,22526.0,1687.0,4692.0,227.0
42,random_25,Debaryomyces_hansenii,22732.0,34560.0,12332.0,6196.0,5569.0,4241.0,56104.0,18545.0,17986.0,559.0,3630.0,191.0
42,random_25,Hanseniaspora_vinae,18015.0,27294.0,9865.0,4906.0,4390.0,3410.0,48628.0,14248.0,13339.0,909.0,2856.0,182.0
42,random_25,Komagataella_pastoris,16787.0,25188.0,9314.0,4443.0,4026.0,3245.0,54606.0,13353.0,12604.0,749.0,2685.0,155.0
42,random_25,Lipomyces_starkeyi,21406.0,32169.0,11646.0,5656.0,5041.0,4034.0,60047.0,16946.0,15863.0,1083.0,3377.0,191.0
42,random_25,Neurospora_crassa,22784.0,33428.0,12419.0,5974.0,5281.0,4577.0,62843.0,18146.0,16967.0,1179.0,3457.0,179.0
42,random_25,Pachysolen_tannophilus,21066.0,32028.0,11489.0,5612.0,5046.0,3968.0,54937.0,16625.0,15626.0,999.0,3443.0,179.0
42,random_25,Saccharomycopsis_malanga,23144.0,35277.0,12528.0,6260.0,5622.0,4271.0,55248.0,18150.0,17081.0,1069.0,3915.0,204.0
