n_trivially_balanced,n_trivial_pairs,n_concordance_modules,n_unbounded_pairs,validation_passed,concordance_tolerance,n_total_optimizations,n_other_error_pairs,n_balanced,n_numerical_error_pairs,balanced_threshold,cv_epsilon,n_metabolites,batch_size,n_concordant_inferred,sample_size,n_trivially_balanced_complexes,n_candidate_pairs,n_burnin,n_resource_limit_pairs,use_unidirectional_constraints,filename,batches_completed,elapsed_time,n_balanced_complexes,n_trivially_concordant,n_complexes,batch_results_concordant_count,model_name,use_transitivity,cv_threshold,n_balanced_total,n_concordant_found,n_infeasible_pairs,n_workers,n_non_concordant_pairs,n_timeout_pairs,n_infeasible_or_unbounded_pairs,objective_bound,n_candidates_skipped_by_transitivity,min_valid_samples,n_concordant_opt,n_reactions,seed,n_chains,n_concordant_total,id,old_species_id,Species name,Common synonym,Major clade,Family,Genus,Strain sequenced,NRRL,CBS,JCM,Other collection/strain ID,Genome accession,Resouce,Strain status,Type species,No. contigs/scaffolds,No. genes,Coverage,Assembly size,N50,GC%,Heterozygosity,CUG usage,BUSCO Complete,BUSCO Duplicated,BUSCO Fragmented,BUSCO Missing,Reference,Note
95,693,567,0,True,0.01,4176,14,98,0,1e-08,1e-16,1485,100000,6018,1000,95,1732,50,0,False,kinetic_results_Alloascoidea_hylecoeti_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,179.38382196426392,98,693,4068,789,Alloascoidea_hylecoeti,True,0.01,98,6114,0,63,943,0,0,none,104,10,789,3539,42,1,6807,53.0,Alloascoidea_hylecoeti,Alloascoidea hylecoeti,,Alloascoideaceae,Alloascoideaceae,Alloascoidea,JCM 7604,Y-17703,,7604.0,,GCA_001600815.1,NBRP/RIKEN,Reference,Yes,136.0,9631.0,See Supplementary Methods,24815695.0,949999.0,31.57,Unknown,Leu,1539.0,135.0,64.0,21.0,This study,
103,782,595,0,True,0.01,4758,23,104,0,1e-08,1e-16,1592,100000,6759,1000,103,2043,50,0,False,kinetic_results_Ambrosiozyma_kashinagacola_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,203.18848395347595,104,782,4277,866,Ambrosiozyma_kashinagacola,True,0.01,104,6843,0,63,1177,0,0,none,85,10,866,3685,42,1,7625,61.0,Ambrosiozyma_kashinagacola,Ambrosiozyma kashinagacola,,Pichiaceae,Saccharomycetales incertae sedis,Ambrosiozyma,JCM 15019,Y-63631,10903.0,15019.0,,GCA_001599075.1,NBRP/RIKEN,Type,No,23.0,5611.0,See Supplementary Methods,12320962.0,1369417.0,36.28,Unknown,Leu,1631.0,11.0,70.0,47.0,This study,
104,786,598,0,True,0.01,4740,23,107,0,1e-08,1e-16,1596,100000,7039,1000,104,2019,50,0,False,kinetic_results_Ambrosiozyma_monospora_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,171.37564396858215,107,786,4267,862,Ambrosiozyma_monospora,True,0.01,107,7115,0,63,1157,0,0,none,107,10,862,3692,42,1,7901,62.0,Ambrosiozyma_monospora,Ambrosiozyma monospora,,Pichiaceae,Saccharomycetales incertae sedis,Ambrosiozyma,JCM 7599,Y-7403,6392.0,7599.0,,GCA_001599995.1,NBRP/RIKEN,Reference,Yes,118.0,7752.0,See Supplementary Methods,24978438.0,679229.0,37.77,Unknown,Leu,1591.0,29.0,89.0,50.0,This study,
99,736,531,0,True,0.01,3420,27,101,0,1e-08,1e-16,1509,100000,5760,1000,99,1537,50,0,False,kinetic_results_Arthrobotrys_oligospora_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,174.84137320518494,101,736,4015,625,Arthrobotrys_oligospora,True,0.01,101,5649,0,63,912,0,0,none,52,10,625,3561,42,1,6385,,Arthrobotrys_oligospora,Arthrobotrys oligospora,,Outgroup,Outgroup,Outgroup,,,,,,,,,,,,,,,,,,1701.0,3.0,38.0,17.0,"Yang J, et al. Genomic and proteomic analyses of the fungus Arthrobotrys oligospora provide insights into nematode-trap formation. PLoS Pathog, (2011)",
100,722,592,0,True,0.01,3944,18,100,0,1e-08,1e-16,1502,100000,6344,1000,100,1665,50,0,False,kinetic_results_Arxula_adeninivorans_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,149.60086107254028,100,722,4067,770,Arxula_adeninivorans,True,0.01,100,6392,0,63,895,0,0,none,96,10,770,3563,42,1,7114,16.0,Arxula_adeninivorans,Blastobotrys adeninivorans,,Dipodascaceae/Trichomonascaceae,Trichomonascaceae,Blastobotrys,LS3,,,,LS3,Genolevures,Public,Reference,No,4.0,5939.0,Unknown,11804616.0,3827910.0,48.12,Unknown,Leu,1663.0,7.0,75.0,14.0,"Kunze G, et al. The complete genome of Blastobotrys (Arxula) adeninivorans LS3 - a yeast of biotechnological interest. Biotechnol Biofuels 7, 66 (2014).",
89,705,606,0,True,0.01,4256,33,90,0,1e-08,1e-16,1483,100000,6314,1000,89,1745,50,0,False,kinetic_results_Ascoidea_asiatica_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,154.71713018417358,90,705,4018,809,Ascoidea_asiatica,True,0.01,90,6418,0,63,936,0,0,none,113,10,809,3523,42,1,7123,216.0,Ascoidea_asiatica,Ascoidea asiatica,,CUG-Ser2,Ascoideaceae,Ascoidea,JCM 7603,Y-17576,457.69,7603.0,,GCA_001600695.1,NBRP/RIKEN,Reference,No,71.0,7632.0,See Supplementary Methods,20313720.0,1153196.0,25.2,Unknown,Ser,1553.0,44.0,65.0,97.0,This study,
84,667,567,0,True,0.01,4018,27,88,0,1e-08,1e-16,1399,100000,6061,1000,84,1655,50,0,False,kinetic_results_Ascoidea_rubescens_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,163.01439690589905,88,667,3818,737,Ascoidea_rubescens,True,0.01,88,6131,0,63,918,0,0,none,85,10,737,3341,42,1,6798,217.0,Ascoidea_rubescens,Ascoidea rubescens,,CUG-Ser2,Ascoideaceae,Ascoidea,NRRL Y-17699,Y-17699,,,,JGI,Public,Authentic,Yes,63.0,6318.0,Unknown,17503998.0,1035938.0,32.85,Unknown,Ser,1573.0,27.0,67.0,92.0,"Riley R, et al. Comparative genomics of biotechnologically important yeasts. Proc Natl Acad Sci USA 113:9882-7 (2016).",
97,703,433,0,True,0.01,3938,38,103,0,1e-08,1e-16,1442,100000,6466,1000,97,1899,50,0,False,kinetic_results_Ashbya_aceri_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,140.2369179725647,103,703,3872,735,Ashbya_aceri,True,0.01,103,6498,0,63,1164,0,0,none,54,10,735,3342,42,1,7201,262.0,Ashbya_aceri,Ashbya aceri,,Saccharomycetaceae,Saccharomycetaceae,Ashbya,FM-2008,,,,FM-2008,NCBI,Public,Type,No,8.0,4322.0,Unknown,8894523.0,1493473.0,51.19,Unknown,Leu,1704.0,3.0,28.0,24.0,"Dietrich FS, et al. Genomes of Ashbya fungi isolated from insects reveal four mating-type loci, numerous translocations, lack of transposons, and distinct gene duplications. G3 (Bethesda) 3, 1225–1239 (2013).",
110,684,495,0,True,0.01,3278,18,112,0,1e-08,1e-16,1461,100000,5708,1000,110,1429,50,0,False,kinetic_results_Aspergillus_nidulans_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,142.14917612075806,112,684,3917,569,Aspergillus_nidulans,True,0.01,112,5593,0,63,860,0,0,none,91,10,569,3485,42,1,6277,,Aspergillus_nidulans,Aspergillus nidulans,,Outgroup,Outgroup,Outgroup,,,,,,,,,,,,,,,,,,1737.0,2.0,11.0,9.0,"Arnaud MB, et al. The Aspergillus Genome Database (AspGD): recent developments in comprehensive multispecies curation, comparative genomics and community resources. Nucleic Acids Res, (2012); Galagan JE et al. Sequencing of Aspergillus nidulans and comparative analysis with A. fumigatus and A. oryzae. Nature, (2005).",
97,770,568,0,True,0.01,5074,36,98,0,1e-08,1e-16,1591,100000,6700,1000,97,2270,50,0,False,kinetic_results_Babjeviella_inositovora_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,209.766086101532,98,770,4316,886,Babjeviella_inositovora,True,0.01,98,6816,0,63,1384,0,0,none,97,10,886,3701,42,1,7586,122.0,Babjeviella_inositovora,Babjeviella inositovora,,CUG-Ser1,Debaryomycetaceae,Babjeviella,NRRL Y-12698,Y-12698,8006.0,10736.0,,JGI,Public,Type,Yes,49.0,5752.0,Unknown,15221050.0,933105.0,48.13,Unknown,Ser,1677.0,10.0,53.0,19.0,"Riley R, et al. Comparative genomics of biotechnologically important yeasts. Proc Natl Acad Sci USA 113:9882-7 (2016).",
